Date,Open,High,Low,Close,Volume,Days to Expiration
2024-04-04 04:00:00,21.65,21.65,15.15,15.15,12,49
2024-04-05 04:00:00,16.01,18.56,16.01,18.56,14,48
2024-04-08 04:00:00,19.05,19.05,18.09,18.09,14,45
2024-04-09 04:00:00,18.43,18.43,16.26,16.73,30,44
2024-04-10 04:00:00,14.42,15.5,14.01,15.27,116,43
2024-04-11 04:00:00,15.13,17.96,13.73,17.66,228,42
2024-04-12 04:00:00,15.79,15.79,12.03,12.6,2126,41
2024-04-15 04:00:00,14.85,14.85,9.3,9.3,2692,38
2024-04-16 04:00:00,9.38,9.6,8.21,8.58,672,37
2024-04-17 04:00:00,9.35,9.36,6.73,6.8,790,36
2024-04-18 04:00:00,7.08,7.85,5.83,6.25,2056,35
2024-04-19 04:00:00,6.06,6.3,4.23,4.45,1164,34
2024-04-22 04:00:00,5,6.23,4.2,5.02,744,31
2024-04-23 04:00:00,5.65,7.57,5.65,7.33,1318,30
2024-04-24 04:00:00,7.76,7.86,6.09,6.21,1206,29
2024-04-25 04:00:00,4.45,8.01,4.18,7.67,2564,28
2024-04-26 04:00:00,7,8.75,6.75,7.71,2370,27
2024-04-29 04:00:00,8.48,8.92,6.92,8.31,1700,24
2024-04-30 04:00:00,7.32,7.78,4.46,4.46,2232,23
2024-05-01 04:00:00,4.26,6.68,3.58,3.8,2014,22
2024-05-02 04:00:00,4.9,5.61,3.5,5.18,2122,21
2024-05-03 04:00:00,7.86,8.5,6.66,8.15,5098,20
