Date,Open,High,Low,Close,Volume,Days to Expiration
2024-04-04 13:00:00,2.23,2.23,2.23,2.23,1,49
2024-04-04 14:00:00,2.22,2.24,2.22,2.24,3,49
2024-04-04 15:00:00,2.21,2.21,2.15,2.15,3,49
2024-04-04 16:00:00,2.13,2.13,2.1,2.1,11,49
2024-04-04 17:00:00,2.12,2.31,2.12,2.31,35,49
2024-04-04 18:00:00,2.6,3.55,2.6,3.44,9,49
2024-04-04 19:00:00,4.16,4.43,4.16,4.43,9,49
2024-04-05 13:00:00,3.98,3.98,3.63,3.63,19,48
2024-04-05 14:00:00,3.7,3.96,3.36,3.36,36,48
2024-04-05 15:00:00,3.63,3.63,3.08,3.08,7,48
2024-04-05 16:00:00,3.01,3.02,2.98,3.02,8,48
2024-04-05 17:00:00,3.34,3.34,3.34,3.34,2,48
2024-04-05 18:00:00,3.45,3.45,3.45,3.45,1,48
2024-04-05 19:00:00,3.52,3.52,3.52,3.52,1,48
2024-04-08 13:00:00,3.03,3.23,3.03,3.12,20,45
2024-04-08 14:00:00,3.09,3.15,2.83,2.83,45,45
2024-04-08 15:00:00,3,3.02,2.94,2.99,14,45
2024-04-08 16:00:00,3.08,3.08,2.58,2.89,22,45
2024-04-08 17:00:00,2.88,2.95,2.88,2.89,112,45
2024-04-08 18:00:00,2.86,2.86,2.83,2.86,4,45
2024-04-08 19:00:00,2.86,2.92,2.82,2.92,244,45
2024-04-09 13:00:00,2.67,2.89,2.67,2.89,3,44
2024-04-09 14:00:00,2.91,3.85,2.91,3.75,14,44
2024-04-09 15:00:00,3.41,3.42,3.41,3.42,2,44
2024-04-09 16:00:00,3.23,3.23,3.07,3.1,78,44
2024-04-09 17:00:00,3.13,3.21,3.04,3.21,19,44
2024-04-09 18:00:00,3.3,3.31,3.11,3.24,11,44
2024-04-09 19:00:00,3.32,3.37,2.68,2.68,6,44
2024-04-10 13:00:00,3.89,3.96,3.67,3.96,14,43
2024-04-10 14:00:00,3.8,3.8,3.25,3.63,32,43
2024-04-10 15:00:00,3.57,3.63,3.57,3.63,6,43
2024-04-10 16:00:00,3.73,3.73,3.73,3.73,7,43
2024-04-10 17:00:00,3.3,3.89,3.3,3.62,11,43
2024-04-10 18:00:00,3.68,3.95,3.62,3.95,9,43
2024-04-10 19:00:00,3.87,3.87,3.51,3.64,7,43
2024-04-11 13:00:00,3.56,3.65,3.54,3.55,44,42
2024-04-11 14:00:00,3.7,4.1,3.7,3.83,36,42
2024-04-11 15:00:00,3.72,3.72,3.67,3.67,2,42
2024-04-11 16:00:00,3.45,3.45,3.44,3.44,8,42
2024-04-11 17:00:00,3.06,3.06,2.84,2.84,15,42
2024-04-11 18:00:00,2.6,2.7,2.6,2.7,7,42
2024-04-11 19:00:00,2.67,2.68,2.67,2.68,3,42
2024-04-12 13:00:00,3.72,3.76,3.55,3.6,11,41
2024-04-12 14:00:00,3.88,4.86,3.85,4.86,121,41
2024-04-12 15:00:00,4.65,4.66,4.09,4.14,258,41
2024-04-12 16:00:00,4.24,5.07,4.24,5.07,10,41
2024-04-12 17:00:00,5.6,5.6,4.82,4.82,12,41
2024-04-12 18:00:00,5.2,5.2,4.74,5,130,41
2024-04-12 19:00:00,5.13,5.13,4.62,4.66,22,41
2024-04-15 13:00:00,3.48,3.48,3.32,3.32,2,38
2024-04-15 14:00:00,3.34,4.28,3.34,4.28,114,38
2024-04-15 15:00:00,4.4,4.4,4.4,4.4,1,38
2024-04-15 16:00:00,4.7,4.7,4.7,4.7,5,38
2024-04-15 17:00:00,5.19,6.06,5.19,6.01,7,38
2024-04-15 18:00:00,6.02,6.4,5.94,6.34,368,38
2024-04-15 19:00:00,6.33,6.8,6.29,6.4,78,38
2024-04-16 13:00:00,6.26,6.92,6.19,6.19,127,37
2024-04-16 14:00:00,6.32,6.82,6.32,6.76,80,37
2024-04-16 15:00:00,6.74,6.76,6,6,489,37
2024-04-16 16:00:00,6.1,6.1,5.96,5.96,22,37
2024-04-16 17:00:00,6.3,6.8,5.95,6.3,202,37
2024-04-16 18:00:00,5.85,6.68,5.39,5.67,529,37
2024-04-16 19:00:00,5.82,6.15,5.6,5.94,280,37
2024-04-17 13:00:00,5.5,5.58,5.35,5.58,323,36
2024-04-17 14:00:00,5.62,6.5,5.62,6.28,241,36
2024-04-17 15:00:00,6.25,7.06,5.99,6.81,179,36
2024-04-17 16:00:00,6.92,7.45,6.92,7.41,164,36
2024-04-17 17:00:00,7.56,7.56,6.42,6.42,65,36
2024-04-17 18:00:00,6.49,6.49,5.92,6.07,26,36
2024-04-17 19:00:00,6.73,6.88,6.6,6.6,24,36
2024-04-18 13:00:00,6.43,7.3,6.43,6.77,121,35
2024-04-18 14:00:00,6.72,7,5.99,5.99,66,35
2024-04-18 15:00:00,5.83,5.99,5.8,5.99,15,35
2024-04-18 16:00:00,6.01,6.8,6.01,6.8,35,35
2024-04-18 17:00:00,6.7,7.49,6.7,7.47,86,35
2024-04-18 18:00:00,7.45,7.6,6.87,7.25,26,35
2024-04-18 19:00:00,7.12,7.12,6.87,6.96,7,35
2024-04-19 13:00:00,7.58,7.58,6.97,6.97,68,34
2024-04-19 14:00:00,7.08,7.81,7.08,7.38,26,34
2024-04-19 15:00:00,7.73,8.11,7.3,8.02,36,34
2024-04-19 16:00:00,8.53,9.06,8.24,8.24,179,34
2024-04-19 17:00:00,8.01,8.44,7.65,8.07,143,34
2024-04-19 18:00:00,8.3,9.51,8.3,9.1,145,34
2024-04-19 19:00:00,9.09,9.44,8.8,9.03,272,34
2024-04-22 13:00:00,7.32,7.59,7.13,7.23,64,31
2024-04-22 14:00:00,7.26,7.84,7.04,7.76,3203,31
2024-04-22 15:00:00,7.85,8.21,7.31,7.31,46,31
2024-04-22 16:00:00,7.1,7.2,6.75,6.82,125,31
2024-04-22 17:00:00,6.56,6.56,5.46,5.47,519,31
2024-04-22 18:00:00,5.57,5.76,5.22,5.72,874,31
2024-04-22 19:00:00,5.59,6.34,5.59,6.34,40,31
2024-04-23 13:00:00,5.14,5.4,4.65,4.79,76,30
2024-04-23 14:00:00,4.65,4.77,4.22,4.23,78,30
2024-04-23 15:00:00,4.43,4.53,4.25,4.44,83,30
2024-04-23 16:00:00,4.38,4.38,4.13,4.17,39,30
2024-04-23 17:00:00,4.26,4.26,3.9,3.9,13,30
2024-04-23 18:00:00,3.91,4,3.86,3.93,31,30
2024-04-23 19:00:00,3.98,3.98,3.92,3.95,71,30
2024-04-24 13:00:00,3.57,3.67,3.43,3.62,100,29
2024-04-24 14:00:00,3.46,3.96,3.46,3.96,43,29
2024-04-24 15:00:00,4.11,4.43,4.05,4.41,113,29
2024-04-24 16:00:00,4.32,4.59,4.26,4.39,140,29
2024-04-24 17:00:00,4.21,4.21,3.6,3.6,17,29
2024-04-24 18:00:00,3.69,4.08,3.69,3.96,15,29
2024-04-24 19:00:00,4.2,4.2,3.66,3.66,5,29
2024-04-25 13:00:00,6.19,6.7,6.07,6.53,300,28
2024-04-25 14:00:00,6.71,6.83,5.84,6.55,97,28
2024-04-25 15:00:00,6.24,6.24,5.74,5.74,64,28
2024-04-25 16:00:00,5.6,5.6,4.99,5.02,84,28
2024-04-25 17:00:00,5,5.06,4.41,4.41,58,28
2024-04-25 18:00:00,4.55,5.03,4.39,5,111,28
2024-04-25 19:00:00,4.79,4.8,4.28,4.6,5874,28
2024-04-26 13:00:00,3.6,3.61,3.05,3.08,88,27
2024-04-26 14:00:00,3.04,3.04,2.9,2.93,156,27
2024-04-26 15:00:00,2.96,3.2,2.8,2.88,30,27
2024-04-26 16:00:00,2.9,2.9,2.7,2.71,34,27
2024-04-26 17:00:00,2.69,2.76,2.65,2.69,34,27
2024-04-26 18:00:00,2.74,2.83,2.72,2.73,249,27
2024-04-26 19:00:00,2.64,2.83,2.58,2.78,23,27
2024-04-29 13:00:00,2.41,2.63,2.3,2.44,45,24
2024-04-29 14:00:00,2.46,2.46,2.29,2.37,85,24
2024-04-29 15:00:00,2.36,2.44,2.36,2.36,37,24
2024-04-29 16:00:00,2.33,2.33,2.28,2.31,41,24
2024-04-29 17:00:00,2.34,2.34,2.19,2.2,3003,24
2024-04-29 18:00:00,2.28,2.44,2.28,2.41,16,24
2024-04-29 19:00:00,2.49,2.85,2.23,2.23,78,24
2024-04-30 13:00:00,2.5,2.59,2.36,2.42,79,23
2024-04-30 14:00:00,2.36,2.48,2.34,2.48,26,23
2024-04-30 15:00:00,2.47,3.1,2.47,3.08,94,23
2024-04-30 16:00:00,3.05,3.5,2.84,3.33,51,23
2024-04-30 17:00:00,3.41,3.47,3.18,3.18,49,23
2024-04-30 18:00:00,2.93,3.56,2.93,3.48,173,23
2024-04-30 19:00:00,3.33,4.15,3.33,4.15,94,23
2024-05-01 13:00:00,4.41,4.8,4.28,4.66,71,22
2024-05-01 14:00:00,4.84,4.89,4.38,4.44,4053,22
2024-05-01 15:00:00,4.47,4.78,4.38,4.78,40,22
2024-05-01 16:00:00,4.86,4.91,4.5,4.76,39,22
2024-05-01 17:00:00,4.85,4.93,4.43,4.55,700,22
2024-05-01 18:00:00,4.36,4.41,2.54,2.59,546,22
2024-05-01 19:00:00,2.48,4.45,2.35,4.45,144,22
2024-05-02 13:00:00,3.24,4.14,3.24,4.02,30,21
2024-05-02 14:00:00,5,5,3.76,3.76,55,21
2024-05-02 15:00:00,3.75,3.82,3.6,3.65,9,21
2024-05-02 16:00:00,3.7,4,3.7,3.9,37,21
2024-05-02 17:00:00,3.75,3.75,3.17,3.33,87,21
2024-05-02 18:00:00,3.27,3.27,2.89,2.89,69,21
2024-05-02 19:00:00,2.93,3.29,2.81,2.99,331,21
2024-05-03 13:00:00,1.57,1.75,1.45,1.51,11977,20
2024-05-03 14:00:00,1.56,1.98,1.56,1.83,403,20
2024-05-03 15:00:00,1.85,1.96,1.54,1.54,100,20
2024-05-03 16:00:00,1.54,1.58,1.47,1.58,32,20
2024-05-03 17:00:00,1.57,1.57,1.44,1.47,262,20
2024-05-03 18:00:00,1.46,1.46,1.37,1.43,86,20
2024-05-03 19:00:00,1.42,1.42,1.31,1.37,563,20
