date,cumulative_returns
2014-01-02,1.0172774761746746
2014-01-03,1.0369843718638214
2014-01-04,1.035759484901347
2014-01-05,1.0559693968214456
2014-01-06,1.073779224134608
2014-01-07,1.0450213067899776
2014-01-08,0.9938484463631241
2014-01-09,1.000374504016037
2014-01-10,0.9805870555430869
2014-01-11,1.0318736730765716
2014-01-12,1.021005066749019
2014-01-13,0.9728089262349553
2014-01-14,1.0005524891964845
2014-01-15,1.0072938650197427
2014-01-16,1.0020930922877782
2014-01-17,0.9836057822989065
2014-01-18,0.9829924403642133
2014-01-19,0.9938273443792138
2014-01-20,1.0170270802933918
2014-01-21,1.0466363622101233
2014-01-22,1.040755542789961
2014-01-23,1.0245644839228047
2014-01-24,0.9896152755856068
2014-01-25,1.0165030754714006
2014-01-26,1.0541124594344269
2014-01-27,1.0381128662916637
2014-01-28,0.990646211531571
2014-01-29,1.001416342351404
2014-01-30,1.0115827191441806
2014-01-31,1.0059094962111992
2014-02-01,1.018977214415637
2014-02-02,1.0359400423018312
2014-02-03,1.0158161547891817
2014-02-04,1.0272116812481071
2014-02-05,1.0287476355324319
2014-02-06,1.0145577494010347
2014-02-07,0.9534876541672197
2014-02-08,0.9217199557520951
2014-02-09,0.9224695260821182
2014-02-10,0.9214460655163151
2014-02-11,0.947408801623406
2014-02-12,0.933431723076201
2014-02-13,0.9187815618427208
2014-02-14,0.9155256451794073
2014-02-15,0.936613736399429
2014-02-16,0.9336887244765889
2014-02-17,0.9182681473772822
2014-02-18,0.9125264619360651
2014-02-19,0.9075716325972865
2014-02-20,0.9025492344748398
2014-02-21,0.8582605440768916
2014-02-22,0.8684697388330491
2014-02-23,0.9062194785649668
2014-02-24,0.8707793143148537
2014-02-25,0.8119882596913326
2014-02-26,0.8606992641408272
2014-02-27,0.8527929189594248
2014-02-28,0.9113802653692341
2014-03-01,0.9261738218537015
2014-03-02,0.9138209245668438
2014-03-03,0.9596831363257787
2014-03-04,1.052604163868859
2014-03-05,1.0057840935497107
2014-03-06,0.9774074858745464
2014-03-07,0.9485808096462452
2014-03-08,0.9352875859257671
2014-03-09,0.8969460759987813
2014-03-10,0.9601107235349559
2014-03-11,0.9315066095225332
2014-03-12,0.9474875511923032
2014-03-13,0.9535163342505312
2014-03-14,0.9406156055121758
2014-03-15,0.9417113158539256
2014-03-16,0.9301403674731736
2014-03-17,0.9045689965350667
2014-03-18,0.9171919340662354
2014-03-19,0.9284872680661098
2014-03-20,0.9091285211613794
2014-03-21,0.8929100024830554
2014-03-22,0.8850165558753441
2014-03-23,0.8767721675729696
2014-03-24,0.8814969220182789
2014-03-25,0.8810975350840041
2014-03-26,0.8780564247862767
2014-03-27,0.838207275584691
2014-03-28,0.8072613616421552
2014-03-29,0.8031755587803069
2014-03-30,0.7634499114497278
2014-03-31,0.7612731923537364
2014-04-01,0.7680934361301677
2014-04-02,0.7521224370257835
2014-04-03,0.7190985666574309
2014-04-04,0.7310854088560239
2014-04-05,0.7306875776395595
2014-04-06,0.7361213716803431
2014-04-07,0.7402557599239693
2014-04-08,0.7287658494042821
2014-04-09,0.7303571086130316
2014-04-10,0.6819845976941985
2014-04-11,0.6871498020764726
2014-04-12,0.7141188032479446
2014-04-13,0.7095482464638326
2014-04-14,0.7272380831334291
2014-04-15,0.766395667087407
2014-04-16,0.8064417113229418
2014-04-17,0.7895694307088086
2014-04-18,0.7605643678528058
2014-04-19,0.773528253804459
2014-04-20,0.7598911628852946
2014-04-21,0.7592383977210728
2014-04-22,0.7562930985400181
2014-04-23,0.7548255594073109
2014-04-24,0.7654927453424579
2014-04-25,0.74201079018356
2014-04-26,0.7377132597316564
2014-04-27,0.7180162319841233
2014-04-28,0.716607034217794
2014-04-29,0.7349876614363604
2014-04-30,0.7159117616362783
2014-05-01,0.7241074928851875
2014-05-02,0.7145261056897416
2014-05-03,0.7124287355310722
2014-05-04,0.7092297227444647
2014-05-05,0.7035504469872893
2014-05-06,0.7048800915009232
2014-05-07,0.7153954884523197
2014-05-08,0.7278034611833627
2014-05-09,0.7303958688598804
2014-05-10,0.738424838693329
2014-05-11,0.7248317514317767
2014-05-12,0.7194380899501458
2014-05-13,0.7153527299200043
2014-05-14,0.730157592423249
2014-05-15,0.7371830841031629
2014-05-16,0.7325364067267444
2014-05-17,0.7373765076651192
2014-05-18,0.7359140677352268
2014-05-19,0.7414617245989792
2014-05-20,0.7395466734084633
2014-05-21,0.7621028648754536
2014-05-22,0.7741906045207905
2014-05-23,0.7935964187136076
2014-05-24,0.7929273574796418
2014-05-25,0.8074705287252174
2014-05-26,0.8126986452358088
2014-05-27,0.8108087701822568
2014-05-28,0.8042191245214387
2014-05-29,0.7866352830235631
2014-05-30,0.8069827985735916
2014-05-31,0.8150479635614517
2014-06-01,0.8315609194625057
2014-06-02,0.8417189032970703
2014-06-03,0.8433909067344435
2014-06-04,0.8198471635170947
2014-06-05,0.8304250557452048
2014-06-06,0.8368778961371538
2014-06-07,0.8340402325681776
2014-06-08,0.8294213293691216
2014-06-09,0.8240237524855589
2014-06-10,0.8246585450944858
2014-06-11,0.8318506250922478
2014-06-12,0.8163473213075766
2014-06-13,0.7957820127463426
2014-06-14,0.7801087953745445
2014-06-15,0.7821399268644008
2014-06-16,0.799920027415535
2014-06-17,0.7922573345535635
2014-06-18,0.8050880924455245
2014-06-19,0.8107759610510555
2014-06-20,0.7945083288520634
2014-06-21,0.794164439186851
2014-06-22,0.8067900756125819
2014-06-23,0.8051786026709757
2014-06-24,0.7768975114663582
2014-06-25,0.7727597648193434
