Date,Open,High,Low,Close,Volume,Days to Expiration
2024-04-04 13:00:00,2.7,2.75,2.7,2.73,23,49
2024-04-04 14:00:00,2.74,2.74,2.74,2.74,2,49
2024-04-04 15:00:00,2.73,2.8,2.7,2.7,23,49
2024-04-04 16:00:00,2.6,2.61,2.6,2.61,13,49
2024-04-04 17:00:00,2.63,2.85,2.63,2.85,9,49
2024-04-04 18:00:00,2.9,4.6,2.9,4.6,57,49
2024-04-04 19:00:00,4.56,5.26,4.46,5.26,54,49
2024-04-05 13:00:00,4.88,4.88,4.42,4.42,19,48
2024-04-05 14:00:00,4.66,4.66,4.66,4.66,1,48
2024-04-05 15:00:00,4.12,4.48,3.78,3.78,35,48
2024-04-05 16:00:00,3.66,3.78,3.63,3.75,21,48
2024-04-05 17:00:00,3.88,4.2,3.88,4.2,13,48
2024-04-05 18:00:00,4.08,4.38,4.08,4.38,71,48
2024-04-05 19:00:00,4.25,4.28,4.03,4.03,5,48
2024-04-08 13:00:00,3.72,3.85,3.7,3.82,27,45
2024-04-08 14:00:00,3.79,3.79,3.45,3.46,48,45
2024-04-08 15:00:00,3.45,3.72,3.45,3.7,26,45
2024-04-08 16:00:00,3.81,3.82,3.59,3.59,65,45
2024-04-08 17:00:00,3.58,3.58,3.55,3.55,16,45
2024-04-08 18:00:00,3.52,3.58,3.5,3.58,8,45
2024-04-08 19:00:00,3.49,3.6,3.39,3.39,7,45
2024-04-09 13:00:00,3.24,3.54,3.23,3.54,7,44
2024-04-09 14:00:00,3.6,4.76,3.51,4.49,120,44
2024-04-09 15:00:00,4.35,4.35,4,4.01,18,44
2024-04-09 16:00:00,3.84,3.88,3.79,3.83,20,44
2024-04-09 17:00:00,3.78,3.94,3.77,3.94,26,44
2024-04-09 18:00:00,4.03,4.03,3.89,4.01,15,44
2024-04-09 19:00:00,4.09,4.17,3.33,3.33,25,44
2024-04-10 13:00:00,4.71,4.87,4.64,4.64,103,43
2024-04-10 14:00:00,4.65,4.65,4,4.54,96,43
2024-04-10 15:00:00,4.54,4.76,4.34,4.76,72,43
2024-04-10 16:00:00,4.64,4.66,4.51,4.54,8,43
2024-04-10 17:00:00,5,5.12,4.31,4.89,40,43
2024-04-10 18:00:00,4.67,4.9,4.56,4.9,37,43
2024-04-10 19:00:00,4.9,4.9,4.19,4.19,16,43
2024-04-11 13:00:00,4.16,4.49,4.13,4.43,20,42
2024-04-11 14:00:00,4.59,5.22,4.59,4.83,45,42
2024-04-11 15:00:00,4.71,4.71,4.61,4.61,54,42
2024-04-11 16:00:00,4.27,4.3,4.27,4.3,2,42
2024-04-11 17:00:00,4.14,4.14,3.54,3.56,59,42
2024-04-11 18:00:00,3.51,3.51,3.23,3.34,59,42
2024-04-11 19:00:00,3.3,3.42,3.24,3.42,137,42
2024-04-12 13:00:00,4.67,4.67,4.34,4.6,153,41
2024-04-12 14:00:00,4.82,5.98,4.82,5.73,109,41
2024-04-12 15:00:00,5.7,5.83,5,5.11,29,41
2024-04-12 16:00:00,5.24,6.33,5.23,6.2,143,41
2024-04-12 17:00:00,6.36,6.69,5.9,6.02,185,41
2024-04-12 18:00:00,5.84,6.21,5.84,6.15,10,41
2024-04-12 19:00:00,6.36,6.5,5.7,5.7,84,41
2024-04-15 13:00:00,4.14,4.37,4.11,4.16,73,38
2024-04-15 14:00:00,4.21,5.39,4.21,5.39,413,38
2024-04-15 15:00:00,5.43,5.5,5,5,14,38
