Date,Open,High,Low,Close,Volume,Days to Expiration
2024-04-04 04:00:00,14.25,14.25,11.9,11.9,28,49
2024-04-05 04:00:00,12.55,15.77,12.22,15.77,68,48
2024-04-08 04:00:00,14.77,15.06,14.49,14.69,10,45
2024-04-09 04:00:00,12.7,15.42,12.29,15.42,58,44
2024-04-10 04:00:00,11,12.42,10.6,11.45,196,43
2024-04-11 04:00:00,12,14.32,10.74,13.65,524,42
2024-04-12 04:00:00,11.53,12.38,9.18,9.81,850,41
2024-04-15 04:00:00,11.6,11.6,6.75,6.85,1372,38
2024-04-16 04:00:00,6.8,7.08,6,6.55,406,37
2024-04-17 04:00:00,6.87,6.87,4.76,4.95,992,36
2024-04-18 04:00:00,4.96,5.57,4,4.19,780,35
2024-04-19 04:00:00,4.12,4.22,2.81,2.94,914,34
2024-04-22 04:00:00,3.29,4.27,2.65,3.31,2424,31
2024-04-23 04:00:00,3.9,5.23,3.85,5,816,30
2024-04-24 04:00:00,5.28,5.34,4,4.12,944,29
2024-04-25 04:00:00,2.8,5.4,2.6,5.3,1948,28
2024-04-26 04:00:00,4.63,6.02,4.45,5.2,732,27
2024-04-29 04:00:00,5.94,6.08,4.6,5.57,796,24
2024-04-30 04:00:00,4.82,5.17,2.64,2.64,2166,23
2024-05-01 04:00:00,2.53,4.3,2.06,2.08,1017,22
2024-05-02 04:00:00,2.93,3.43,2.05,3.14,1790,21
2024-05-03 04:00:00,5.09,5.51,4.07,5.15,5007,20
