Date,Net Returns,Gross Returns,MAPE,Predicted Values,Actual Values
2024-01-10,"Close    0.0
dtype: float64","Close    0.0
dtype: float64",0.048763918419976834,"component               Close
time                         
2024-01-10 10:10:00  6.013236
2024-01-10 10:10:01  6.013236
2024-01-10 10:10:02  6.013235
2024-01-10 10:10:03  6.013236
2024-01-10 10:10:04  6.013236
...                       ...
2024-01-10 15:59:56  6.013375
2024-01-10 15:59:57  6.013375
2024-01-10 15:59:58  6.013375
2024-01-10 15:59:59  6.013375
2024-01-10 16:00:00  6.013375

[21001 rows x 1 columns]","                        Close
timestamp                    
2024-01-10 10:00:00  6.006427
2024-01-10 10:00:01  6.006402
2024-01-10 10:00:02  6.006304
2024-01-10 10:00:03  6.006329
2024-01-10 10:00:04  6.006279
...                       ...
2024-01-12 15:59:56  6.015108
2024-01-12 15:59:57  6.014815
2024-01-12 15:59:58  6.014961
2024-01-12 15:59:59  6.015083
2024-01-12 16:00:00  6.014961

[64803 rows x 1 columns]"
2024-01-11,"Close    0.0
dtype: float64","Close    0.0
dtype: float64",0.06804363908711966,"component               Close
time                         
2024-01-11 10:10:00  6.013297
2024-01-11 10:10:01  6.013297
2024-01-11 10:10:02  6.013297
2024-01-11 10:10:03  6.013296
2024-01-11 10:10:04  6.013296
...                       ...
2024-01-11 15:59:56  6.013413
2024-01-11 15:59:57  6.013413
2024-01-11 15:59:58  6.013413
2024-01-11 15:59:59  6.013414
2024-01-11 16:00:00  6.013414

[21001 rows x 1 columns]","                        Close
timestamp                    
2024-01-10 10:00:00  6.006427
2024-01-10 10:00:01  6.006402
2024-01-10 10:00:02  6.006304
2024-01-10 10:00:03  6.006329
2024-01-10 10:00:04  6.006279
...                       ...
2024-01-12 15:59:56  6.015108
2024-01-12 15:59:57  6.014815
2024-01-12 15:59:58  6.014961
2024-01-12 15:59:59  6.015083
2024-01-12 16:00:00  6.014961

[64803 rows x 1 columns]"
2024-01-12,"Close    0.0
dtype: float64","Close    0.0
dtype: float64",0.018865789103697787,"component               Close
time                         
2024-01-12 10:10:00  6.013436
2024-01-12 10:10:01  6.013436
2024-01-12 10:10:02  6.013436
2024-01-12 10:10:03  6.013436
2024-01-12 10:10:04  6.013437
...                       ...
2024-01-12 15:59:56  6.013434
2024-01-12 15:59:57  6.013434
2024-01-12 15:59:58  6.013434
2024-01-12 15:59:59  6.013434
2024-01-12 16:00:00  6.013434

[21001 rows x 1 columns]","                        Close
timestamp                    
2024-01-10 10:00:00  6.006427
2024-01-10 10:00:01  6.006402
2024-01-10 10:00:02  6.006304
2024-01-10 10:00:03  6.006329
2024-01-10 10:00:04  6.006279
...                       ...
2024-01-12 15:59:56  6.015108
2024-01-12 15:59:57  6.014815
2024-01-12 15:59:58  6.014961
2024-01-12 15:59:59  6.015083
2024-01-12 16:00:00  6.014961

[64803 rows x 1 columns]"
