Date,Open,High,Low,Close,Volume,Days to Expiration
2024-04-04 13:00:00,3.4,3.47,3.4,3.47,3,49
2024-04-04 14:00:00,3.39,3.42,3.39,3.42,4,49
2024-04-04 16:00:00,3.26,3.26,3.26,3.26,2,49
2024-04-04 17:00:00,3.27,3.57,3.27,3.57,6,49
2024-04-04 18:00:00,3.63,5.32,3.63,5.32,15,49
2024-04-04 19:00:00,5.62,6.4,5.62,6.4,59,49
2024-04-05 13:00:00,5.94,5.94,5.44,5.44,6,48
2024-04-05 14:00:00,5.8,5.8,5.31,5.32,38,48
2024-04-05 15:00:00,5.1,5.1,4.63,4.63,53,48
2024-04-05 16:00:00,4.6,4.6,4.49,4.49,6,48
2024-04-05 18:00:00,5.3,5.3,4.9,5.11,90,48
2024-04-05 19:00:00,5.2,5.2,5.1,5.1,6,48
2024-04-08 13:00:00,4.61,4.67,4.61,4.67,8,45
2024-04-08 14:00:00,4.42,4.42,4.3,4.3,6,45
2024-04-08 15:00:00,4.31,4.6,4.31,4.6,12,45
2024-04-08 16:00:00,4.65,4.65,4.44,4.44,14,45
2024-04-08 17:00:00,4.43,4.47,4.43,4.47,15,45
2024-04-08 18:00:00,4.35,4.35,4.35,4.35,1,45
2024-04-08 19:00:00,4.35,4.52,4.35,4.52,5,45
2024-04-09 13:00:00,4,4.38,4,4.38,4,44
2024-04-09 14:00:00,4.65,5.84,4.65,5.72,20,44
2024-04-09 15:00:00,5.44,5.44,5.25,5.25,6,44
2024-04-09 16:00:00,4.79,4.79,4.79,4.79,1,44
2024-04-09 17:00:00,4.91,4.91,4.91,4.91,1,44
2024-04-09 18:00:00,4.85,4.85,4.85,4.85,10,44
2024-04-09 19:00:00,5.03,5.03,4.4,4.4,42,44
2024-04-10 13:00:00,5.93,6.08,5.88,6.08,52,43
2024-04-10 14:00:00,5.81,5.81,4.97,5.66,165,43
2024-04-10 15:00:00,5.66,5.96,5.66,5.96,56,43
2024-04-10 16:00:00,5.9,5.9,5.54,5.54,62,43
2024-04-10 17:00:00,5.73,6.32,5.73,6.32,55,43
2024-04-10 18:00:00,5.62,5.98,5.62,5.98,72,43
2024-04-10 19:00:00,5.33,5.79,5.31,5.31,224,43
2024-04-11 13:00:00,5.42,5.48,5.42,5.48,151,42
2024-04-11 14:00:00,5.7,6.4,5.7,6.35,45,42
2024-04-11 16:00:00,5.37,5.37,5.29,5.29,3,42
2024-04-11 17:00:00,4.82,4.82,4.49,4.49,3,42
2024-04-11 18:00:00,4.3,4.3,4.09,4.19,7,42
2024-04-11 19:00:00,4.22,4.23,4.08,4.23,39,42
2024-04-12 13:00:00,5.67,5.67,5.47,5.47,25,41
2024-04-12 14:00:00,5.92,7.17,5.92,7.05,74,41
2024-04-12 15:00:00,6.91,7.06,6.27,6.28,19,41
2024-04-12 16:00:00,6.5,7.73,6.5,7.56,73,41
2024-04-12 17:00:00,7.74,8.25,7.4,7.4,121,41
2024-04-12 18:00:00,7.62,7.79,7.12,7.49,192,41
2024-04-12 19:00:00,8.02,8.02,7.15,7.16,131,41
2024-04-15 13:00:00,5.14,5.47,5.14,5.24,12,38
2024-04-15 14:00:00,5.74,6.51,5.74,6.41,24,38
2024-04-15 16:00:00,6.16,7.07,6.16,7.07,12,38
2024-04-15 17:00:00,7.92,9.51,7.92,8.83,108,38
2024-04-15 18:00:00,9.23,9.71,8.72,9.48,25,38
2024-04-15 19:00:00,9.61,10.1,9.35,9.6,126,38
2024-04-16 13:00:00,9.38,10.12,9.38,9.78,192,37
2024-04-16 14:00:00,9.65,10.54,9.26,10.05,51,37
2024-04-16 15:00:00,9.85,9.85,8.94,9.18,45,37
2024-04-16 16:00:00,9.53,9.58,9.26,9.33,14,37
2024-04-16 17:00:00,9.57,9.93,9.27,9.6,31,37
2024-04-16 18:00:00,9.71,10.15,8.8,8.81,85,37
2024-04-16 19:00:00,8.99,9.78,8.73,9.64,30,37
2024-04-17 13:00:00,8.61,8.65,8.32,8.65,36,36
