Date,Open,High,Low,Close,Volume,Days to Expiration
2024-04-04 04:00:00,14.29,14.29,8.95,8.95,110,49
2024-04-05 04:00:00,9.7,12.28,9.35,12.09,130,48
2024-04-08 04:00:00,11.58,12.02,11.02,11.53,90,45
2024-04-09 04:00:00,12.1,12.2,9.4,11.8,1378,44
2024-04-10 04:00:00,8.3,9.42,8,8.23,1174,43
2024-04-11 04:00:00,9,11,7.75,10.27,194,42
2024-04-12 04:00:00,8.8,9.03,6.66,7.1,908,41
2024-04-15 04:00:00,8.58,8.58,4.6,4.8,1106,38
2024-04-16 04:00:00,4.81,4.9,4,4.16,608,37
2024-04-17 04:00:00,4.67,4.67,3.1,3.11,434,36
2024-04-18 04:00:00,3.29,3.7,2.55,2.8,408,35
2024-04-19 04:00:00,2.7,2.83,1.75,1.84,1176,34
2024-04-22 04:00:00,2.08,2.76,1.59,2.03,5354,31
2024-04-23 04:00:00,2.44,3.42,2.37,3.17,1742,30
2024-04-24 04:00:00,3.33,3.48,2.5,2.9,1658,29
2024-04-25 04:00:00,1.67,3.42,1.55,3.22,1270,28
2024-04-26 04:00:00,2.76,3.87,2.7,3.25,1418,27
2024-04-29 04:00:00,3.6,3.8,2.7,3.52,2642,24
2024-04-30 04:00:00,2.96,3.07,1.5,1.58,1468,23
2024-05-01 04:00:00,1.38,2.51,1.1,1.2,1376,22
2024-05-02 04:00:00,1.59,1.95,1.08,1.65,5426,21
2024-05-03 04:00:00,3,3.34,2.38,3.11,3564,20
