Date,Open,High,Low,Close,Volume,Days to Expiration
2024-04-04 13:00:00,10.82,10.84,10.67,10.67,24,49
2024-04-04 15:00:00,10.72,10.72,10.72,10.72,1,49
2024-04-04 16:00:00,10.98,11,10.88,10.88,4,49
2024-04-04 18:00:00,8.98,8.98,8.19,8.29,3,49
2024-04-04 19:00:00,7.24,7.24,7.24,7.24,1,49
2024-04-05 13:00:00,7.45,7.57,7.45,7.57,2,48
2024-04-05 14:00:00,7.66,7.66,7.66,7.66,1,48
2024-04-05 15:00:00,8.32,9.21,8.32,9.21,8,48
2024-04-05 16:00:00,9.3,9.3,9.3,9.3,1,48
2024-04-05 18:00:00,8.91,8.91,8.91,8.91,3,48
2024-04-05 19:00:00,9.04,9.04,9.04,9.04,1,48
2024-04-08 14:00:00,9.11,9.11,9.11,9.11,14,45
2024-04-08 15:00:00,8.62,8.62,8.5,8.5,2,45
2024-04-08 17:00:00,8.55,8.55,8.55,8.55,28,45
2024-04-08 18:00:00,8.68,8.68,8.68,8.68,10,45
2024-04-08 19:00:00,8.57,8.57,8.57,8.57,2,45
2024-04-09 13:00:00,9.05,9.05,9.02,9.02,13,44
2024-04-09 14:00:00,7.17,7.17,6.9,6.9,2,44
2024-04-09 15:00:00,7.07,7.18,7.07,7.18,3,44
2024-04-09 19:00:00,7.89,8.32,7.89,8.32,2,44
2024-04-10 13:00:00,6,6.07,5.83,6.07,7,43
2024-04-10 14:00:00,6.12,6.58,6.12,6.58,6,43
2024-04-10 15:00:00,6.12,6.12,6.12,6.12,57,43
2024-04-10 16:00:00,5.88,5.88,5.88,5.88,3,43
2024-04-10 17:00:00,5.61,5.61,5.61,5.61,1,43
2024-04-10 18:00:00,6.1,6.1,6.1,6.1,2,43
2024-04-10 19:00:00,6.06,6.25,6.06,6.25,178,43
2024-04-11 13:00:00,6.23,6.23,6.23,6.23,26,42
2024-04-11 16:00:00,6.35,6.35,6.35,6.35,41,42
2024-04-11 17:00:00,6.97,7.42,6.97,7.3,109,42
2024-04-11 18:00:00,7.9,8.2,7.9,8.2,30,42
2024-04-11 19:00:00,8.02,8.02,8.02,8.02,1,42
2024-04-12 13:00:00,6.4,6.89,6.4,6.89,13,41
2024-04-12 14:00:00,6.48,6.64,6.1,6.18,444,41
2024-04-12 15:00:00,6.21,6.24,6.13,6.24,58,41
2024-04-12 16:00:00,6,6,5.39,5.39,41,41
2024-04-12 17:00:00,5.28,5.46,5.19,5.26,20,41
2024-04-12 18:00:00,5.1,5.35,4.78,4.78,281,41
2024-04-12 19:00:00,4.84,4.88,4.62,4.73,23,41
2024-04-15 13:00:00,6.01,6.01,5.85,5.87,61,38
2024-04-15 14:00:00,5.75,5.75,5.05,5.05,14,38
2024-04-15 15:00:00,4.93,5.1,4.93,5.1,106,38
2024-04-15 16:00:00,4.6,4.6,4.45,4.48,87,38
2024-04-15 17:00:00,4.45,4.45,3.47,3.51,49,38
2024-04-15 18:00:00,3.45,3.49,3.29,3.29,172,38
2024-04-15 19:00:00,3.23,3.38,3.06,3.38,170,38
2024-04-16 13:00:00,3.18,3.23,2.95,3.11,98,37
2024-04-16 14:00:00,3.01,3.19,2.72,2.78,37,37
2024-04-16 15:00:00,2.93,2.93,2.9,2.9,2,37
2024-04-16 16:00:00,2.87,3.01,2.87,3.01,11,37
2024-04-16 17:00:00,2.8,2.9,2.69,2.8,21,37
2024-04-16 18:00:00,2.73,3.16,2.6,2.81,724,37
2024-04-16 19:00:00,3.14,3.15,2.69,2.69,32,37
2024-04-17 14:00:00,2.78,2.78,2.45,2.45,27,36
2024-04-17 15:00:00,2.44,2.44,2.17,2.26,51,36
2024-04-17 16:00:00,2.23,2.23,2,2.02,139,36
2024-04-17 17:00:00,2.03,2.27,2.03,2.27,7,36
2024-04-17 18:00:00,2.28,2.49,2.11,2.11,47,36
2024-04-17 19:00:00,2.07,2.1,1.95,2.02,127,36
2024-04-18 13:00:00,2.07,2.07,1.8,1.83,18,35
2024-04-18 14:00:00,1.89,2.35,1.89,2.28,32,35
2024-04-18 15:00:00,2.25,2.37,2.16,2.16,20,35
2024-04-18 16:00:00,2.07,2.11,1.83,1.84,21,35
2024-04-18 17:00:00,1.84,1.9,1.62,1.64,260,35
2024-04-18 18:00:00,1.63,1.7,1.55,1.61,68,35
2024-04-18 19:00:00,1.7,1.77,1.63,1.65,65,35
2024-04-19 13:00:00,1.7,1.76,1.66,1.68,12,34
2024-04-19 14:00:00,1.69,1.71,1.45,1.49,45,34
2024-04-19 15:00:00,1.46,1.51,1.37,1.37,30,34
2024-04-19 16:00:00,1.28,1.28,1.15,1.28,173,34
2024-04-19 17:00:00,1.33,1.45,1.29,1.45,69,34
2024-04-19 18:00:00,1.22,1.24,1.08,1.12,68,34
