Date,Open,High,Low,Close,Volume,Days to Expiration
2024-04-04 15:00:00,25.38,25.38,25.38,25.38,20,49
2024-04-04 19:00:00,19,19,19,19,7,49
2024-04-05 14:00:00,20.74,20.74,20.74,20.74,10,48
2024-04-05 18:00:00,23,23,23,23,2,48
2024-04-08 16:00:00,21.9,21.9,21.9,21.9,2,45
2024-04-09 13:00:00,23.01,23.01,23.01,23.01,4,44
2024-04-09 14:00:00,21.75,21.75,21.75,21.75,5,44
2024-04-09 17:00:00,21,21,21,21,1,44
2024-04-09 18:00:00,20.51,20.51,20.51,20.51,1,44
2024-04-10 13:00:00,18.06,18.26,18.02,18.02,3,43
2024-04-10 14:00:00,18.6,18.6,18.6,18.6,5,43
2024-04-10 17:00:00,17.79,17.79,17.79,17.79,1,43
2024-04-11 18:00:00,21.48,21.48,21.48,21.48,2,42
2024-04-12 13:00:00,19.42,19.42,19.42,19.42,2,41
2024-04-12 14:00:00,18.58,18.62,18.18,18.18,7,41
2024-04-12 16:00:00,18.12,18.12,16.8,16.8,2,41
2024-04-12 17:00:00,16.28,16.34,16.28,16.34,31,41
2024-04-15 13:00:00,18.07,18.12,18.07,18.12,2,38
2024-04-15 14:00:00,16.87,16.87,16.87,16.87,5,38
2024-04-15 15:00:00,16.36,16.36,16.36,16.36,1,38
2024-04-15 17:00:00,12.87,13.13,12.87,13.13,2,38
2024-04-15 18:00:00,12.77,12.77,12.34,12.71,48,38
2024-04-15 19:00:00,12.58,12.64,12.2,12.64,37,38
2024-04-16 13:00:00,12.46,12.46,12.46,12.46,81,37
2024-04-16 14:00:00,11.95,12.44,11.28,11.28,25,37
2024-04-16 15:00:00,11.73,12.02,11.65,11.77,42,37
2024-04-16 16:00:00,11.76,12.04,11.5,11.96,101,37
2024-04-16 17:00:00,11.99,12.12,11.46,11.46,15,37
2024-04-16 18:00:00,11.92,12.37,11.91,12.3,75,37
2024-04-16 19:00:00,11.93,12.42,11.14,11.21,129,37
2024-04-17 13:00:00,12.23,12.36,11.95,12.28,52,36
2024-04-17 14:00:00,11.42,11.56,10.43,10.59,72,36
2024-04-17 15:00:00,10.82,10.82,9.99,10.01,10,36
2024-04-17 16:00:00,9.59,9.59,9.07,9.35,183,36
2024-04-17 17:00:00,9.43,10.05,9.43,10.05,30,36
2024-04-17 18:00:00,10.15,11,9.89,9.93,64,36
2024-04-17 19:00:00,9.68,9.88,9.3,9.4,100,36
2024-04-18 13:00:00,9.63,9.65,8.95,9.36,63,35
2024-04-18 14:00:00,9.69,10.5,9.69,10.5,86,35
2024-04-18 15:00:00,10.44,10.52,10.1,10.1,7,35
2024-04-18 16:00:00,10.23,10.23,9.19,9.19,90,35
2024-04-18 17:00:00,9.25,9.25,8.4,8.4,59,35
2024-04-18 18:00:00,8.27,8.53,8.27,8.34,9,35
2024-04-18 19:00:00,8.31,8.86,8.31,8.55,39,35
2024-04-19 13:00:00,8.39,8.42,8.2,8.42,23,34
2024-04-19 14:00:00,8.36,8.45,7.61,8.1,67,34
2024-04-19 15:00:00,7.71,7.71,7.23,7.23,86,34
2024-04-19 16:00:00,7.32,7.32,6.66,7.07,60,34
2024-04-19 17:00:00,7.24,7.6,7.09,7.27,37,34
2024-04-19 18:00:00,6.98,6.98,6.2,6.2,2,34
2024-04-19 19:00:00,6.3,6.49,6.12,6.32,19,34
2024-04-22 13:00:00,7.09,7.09,6.65,6.98,20,31
2024-04-22 14:00:00,6.94,6.94,6.25,6.25,14,31
2024-04-22 15:00:00,6.24,6.44,6.04,6.44,44,31
2024-04-22 16:00:00,6.75,6.92,6.75,6.92,22,31
2024-04-22 17:00:00,7.13,8.52,7.01,8.39,72,31
2024-04-22 18:00:00,8.35,8.78,8.06,8.3,124,31
